,Questions,Answers
1911,then we'll just make a u-turn.,and then we can turn right at the light.
1912,and then we can turn right at the light.,good idea. it will be so much quicker.
1913,i need a cheap car.,how much money do you have?
1914,how much money do you have?,"$1,000."
1915,"$1,000.","well, that should get you something."
1916,"well, that should get you something.",but i need something that's reliable.
1917,but i need something that's reliable.,you need a car with low mileage.
1918,you need a car with low mileage.,a car that was owned by a little old lady.
1919,a car that was owned by a little old lady.,where have you looked?
1920,where have you looked?,i haven't looked anywhere yet.
1921,i haven't looked anywhere yet.,why not?
1922,why not?,because i'll never find one for such a low price.
1923,because i'll never find one for such a low price.,you're right about that. keep saving your money.
1924,"good afternoon, officer.","your driver's license and registration, please."
1925,"your driver's license and registration, please.",here you go.
1926,here you go.,do you know why i pulled you over?
1927,do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.
1928,i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.
1929,you rolled through that stop sign back there.,but i stopped!
1930,but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop."
1931,"no, you didn't. you slowed down, but you didn't come to a full stop.","well, nobody else does, so why should i?"
1932,"well, nobody else does, so why should i?",that's not the attitude of a good driver.
1933,that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.
1934,but i am a good driver. i've never had a ticket in my life.,"well, you've got one now. here. have a nice day."
1935,$140. i can't believe it.,what are you talking about?
1936,what are you talking about?,i got a ticket downtown for $140.
1937,i got a ticket downtown for $140.,were you speeding?
1938,were you speeding?,"no, i was crossing the street."
1939,"no, i was crossing the street.",were you jaywalking?
1940,were you jaywalking?,"no, i was in the crosswalk."
1941,"no, i was in the crosswalk.",so why did you get a ticket?
1942,so why did you get a ticket?,the officer said the red hand was blinking.
1943,the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?
1944,was it blinking when you entered the crosswalk?,"no, the white walk sign was blinking."
1945,"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.
1946,they were in a crosswalk near school at 3 a.m.,who?
1947,who?,two students from usc.
1948,two students from usc.,what happened?
1949,what happened?,"a speeding car ran a red light, killing the girl."
1950,"a speeding car ran a red light, killing the girl.",what happened to the other student?
1951,what happened to the other student?,he landed on the hood of the car.
1952,he landed on the hood of the car.,did he get off the hood?
1953,did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood."
1954,"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.
1955,i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
1956,of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.
1957,what happened to your car?,i got a dent in the parking lot.
1958,i got a dent in the parking lot.,how did you get it?
1959,how did you get it?,i don't know. maybe it was from a shopping cart.
1960,i don't know. maybe it was from a shopping cart.,those shopping carts are dangerous.
1961,those shopping carts are dangerous.,especially the metal ones.
1962,especially the metal ones.,i don't park at a store that uses metal shopping carts.
1963,i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
1964,"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?
1965,did you save any money on the sale?,"yes, i did. i saved about $50."
1966,"yes, i did. i saved about $50.",that's great.
1967,that's great.,"yes, except this dent will cost about $150."
1968,"did you see ""titanic""?",yes. it is a great movie.
1969,yes. it is a great movie.,i saw it twelve times.
1970,i saw it twelve times.,i saw it eight times.
1971,i saw it eight times.,i have the dvd.
1972,i have the dvd.,so do i.
1973,so do i.,let's go to your home.
1974,let's go to your home.,we can watch my dvd.
1975,we can watch my dvd.,and then we can go to my home.
1976,and then we can go to my home.,and watch your dvd.
1977,and watch your dvd.,i always cry at the end.
1978,i always cry at the end.,me too. it's so sad.
1979,let's play cards.,i don't know any card games.
1980,i don't know any card games.,i'll teach you one.
1981,i'll teach you one.,okay. what will you teach me?
1982,okay. what will you teach me?,it's called poker.
1983,it's called poker.,is it easy to learn?
1984,is it easy to learn?,"yes, it will only take about 30 minutes."
1985,"yes, it will only take about 30 minutes.",okay. teach me how to play.
1986,okay. teach me how to play.,we each get five cards.
1987,we each get five cards.,"oh, look. i have four tens."
1988,"oh, look. i have four tens.","that's great, but you're not supposed to tell me."
1989,"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens."
1990,i'm a good card player.,why is that?
1991,why is that?,because i watch the other players.
1992,because i watch the other players.,what do you mean?
1993,what do you mean?,people will tell you if they have a good hand.
1994,people will tell you if they have a good hand.,how do they do that?
1995,how do they do that?,"for example, a friend of mine licks his lips."
1996,"for example, a friend of mine licks his lips.","when he licks his lips, you know he has a good hand?"
1997,"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
1998,"i know he has a good hand, so i don't bet.",he never wins your money?
1999,he never wins your money?,"nope, and it drives him crazy."
2000,"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.
2001,"turn the radio down, please.",but i'm listening to it.
2002,but i'm listening to it.,"well, listen to it more quietly."
2003,"well, listen to it more quietly.",i can't wait till i grow up.
2004,i can't wait till i grow up.,what will you do?
2005,what will you do?,i will play the radio as loud as i want.
2006,i will play the radio as loud as i want.,that's okay with me.
2007,that's okay with me.,i will have a radio in every room of my house.
2008,i will have a radio in every room of my house.,remind me to never visit you.
2009,remind me to never visit you.,all the radios will be on extra loud.
2010,all the radios will be on extra loud.,your neighbors will hate you.
2011,your neighbors will hate you.,"if they don't like it, they can move."
2012,i hope i win the lotto.,your chances are very small.
2013,your chances are very small.,but you can't win if you don't play.
2014,but you can't win if you don't play.,ha! you can't win if you do play.
2015,ha! you can't win if you do play.,someone has to win.
2016,someone has to win.,that's what everyone says.
2017,that's what everyone says.,it might as well be me.
2018,it might as well be me.,that's what everyone says.
2019,that's what everyone says.,you're trying to tell me something.
2020,you're trying to tell me something.,that didn't take long.
2021,that didn't take long.,you think i should quit playing.
2022,you think i should quit playing.,save your money for school.
2023,what's on tv?,nothing much.
2024,nothing much.,what about the baseball game?
2025,what about the baseball game?,it got rained out.
2026,it got rained out.,rained out?
2027,rained out?,"yes, rained out."
2028,"yes, rained out.",how could that be?
2029,how could that be?,"well, you can't play baseball in a rainstorm."
2030,"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.
2031,i thought they were playing under a dome.,the dome doesn't close.
2032,the dome doesn't close.,why doesn't it close?
2033,why doesn't it close?,who knows? they said they'll fix it before next season.
2034,can i try your coffee?,sure. here you go.
2035,sure. here you go.,"hmm, that's not bad."
2036,"hmm, that's not bad.",there's nothing in it.
2037,there's nothing in it.,what do you mean?
2038,what do you mean?,"i mean, it's just coffee."
2039,"i mean, it's just coffee.",i figured that.
2040,i figured that.,it's not too bitter for you?
2041,it's not too bitter for you?,"it's a little bitter, but it's okay."
2042,"it's a little bitter, but it's okay.",there's no sugar or cream in it.
2043,there's no sugar or cream in it.,"no, it's a taste you have to get used to."
2044,"no, it's a taste you have to get used to.",sort of like beer.
2045,let's take a walk.,what's the weather like?
2046,what's the weather like?,let me step outside and see.
2047,let me step outside and see.,"it's a little chilly, right?"
2048,"it's a little chilly, right?","yes, it is."
2049,"yes, it is.",i'll put on my cap.
2050,i'll put on my cap.,"wear a jacket, too."
2051,"wear a jacket, too.",i wonder if i should bring my gloves.
2052,i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder."
2053,"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
2054,i'll put a glove in each pocket.,we'll get warmer as we walk.
2055,we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
2056,look at the car chase on tv!,that driver is crazy.
2057,that driver is crazy.,i can't believe he hasn't crashed.
2058,i can't believe he hasn't crashed.,how fast is he going?
2059,how fast is he going?,they say he's going 80 miles per hour.
2060,they say he's going 80 miles per hour.,he's going to kill someone.
2061,he's going to kill someone.,look! he just hit that car.
2062,look! he just hit that car.,"oh, my goodness. no one is safe on the streets."
2063,"oh, my goodness. no one is safe on the streets.",now he's slowing down.
2064,now he's slowing down.,maybe he ran out of gas.
2065,maybe he ran out of gas.,look! he just got out of the car and started running.
2066,look! he just got out of the car and started running.,i hope the police catch him.
2067,tv news is so stupid.,they shouldn't even call it news.
2068,they shouldn't even call it news.,last night they told us about a cat in a sofa.
2069,last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
2070,yesterday they told us about a dog in a pipe.,last week they told us about a bear in a back yard.
2071,last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.
2072,last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.
2073,the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.
2074,the sports guy shows us players fighting.,"they always tell us ""what's next."""
2075,"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is."
2076,"they always make ""what's next"" sound exciting, but it never is.",it's more like news for kids.
2077,it's more like news for kids.,they should have kid reporters.
2078,i love my computer.,computers are so cool.
2079,computers are so cool.,i love to go online.
2080,i love to go online.,the internet is amazing.
2081,the internet is amazing.,you can travel all over the world.
2082,you can travel all over the world.,i know. i went to china yesterday.
2083,i know. i went to china yesterday.,what did you do?
2084,what did you do?,i stood on the great wall and looked all around.
2085,i stood on the great wall and looked all around.,what was it like?
2086,what was it like?,it was like the real thing.
2087,it was like the real thing.,it was like being there?
2088,it was like being there?,"yes, i felt like i was actually there."
2089,the beatles are the best.,they are the best musical group ever.
2090,they are the best musical group ever.,i love all their songs.
2091,i love all their songs.,i don't know which one i like the best.
2092,i don't know which one i like the best.,i like the ones i can sing along with.
2093,i like the ones i can sing along with.,"so do i, like ""she loves you."""
2094,"so do i, like ""she loves you.""","she loves you, yeah, yeah, yeah!..."
2095,"she loves you, yeah, yeah, yeah!...",Â…and you know you should be glad!
2096,Â…and you know you should be glad!,what a great song.
2097,what a great song.,"how about ""let it be?"""
2098,"how about ""let it be?""","oh, yes! ""let it be, let it beÂ…"""
2099,"oh, yes! ""let it be, let it beÂ…""","Â…there will be an answer, let it be!"
2100,let's go to a movie.,i'd rather not.
2101,i'd rather not.,why not?
2102,why not?,you know i don't like crowds.
2103,you know i don't like crowds.,let's go to an early movie.
2104,let's go to an early movie.,"okay, that won't be very crowded."
2105,"okay, that won't be very crowded.",what would you like to see?
2106,what would you like to see?,"oh, i don't care. you're the one who wants to go out."
2107,"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness."""
2108,"well, i want to see ""the pursuit of happyness.""",what have you heard about it?
2109,what have you heard about it?,it's based on a true story about a divorced man and his young son.
2110,it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending."
2111,what's your favorite thing to do?,i like to watch people.
2112,i like to watch people.,that's your favorite thing to do?
2113,that's your favorite thing to do?,"well, it's one of them."
2114,"well, it's one of them.",where do you go to watch people?
2115,where do you go to watch people?,my girlfriend and i sit outside starbucks.
2116,my girlfriend and i sit outside starbucks.,that sounds like a good spot.
2117,that sounds like a good spot.,we watch people walk by with their dogs.
2118,we watch people walk by with their dogs.,i guess you see lots of different dogs.
2119,i guess you see lots of different dogs.,we don't even know what kind most of them are.
2120,we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common."
2121,"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet."
2122,they call him father dollar bill.,"yes, he was on the tv news today."
2123,"yes, he was on the tv news today.",every easter sunday he gives away money.
2124,every easter sunday he gives away money.,is it his money?
2125,is it his money?,no. movie stars give him money to give to homeless people.
2126,no. movie stars give him money to give to homeless people.,how much money does he give away?
2127,how much money does he give away?,"this year he gave away $15,000."
2128,"this year he gave away $15,000.",that's a lot of money.
2129,that's a lot of money.,he gave $100 to people in wheelchairs.
2130,he gave $100 to people in wheelchairs.,what about the other homeless people?
2131,what about the other homeless people?,they got $1 each.
2132,they got $1 each.,people stood in line just to get one dollar?!
2133,old movies are the best.,even though they're in black and white.
2134,even though they're in black and white.,a good story is more important than color.
2135,a good story is more important than color.,actors didn't curse back then.
2136,actors didn't curse back then.,and there was no violence.
2137,and there was no violence.,people today don't like that.
2138,people today don't like that.,"no, today people like lots of action."
2139,"no, today people like lots of action.",i like a good story.
2140,i like a good story.,i like to see actors who are like real people.
2141,i like to see actors who are like real people.,like real people with real problems.
2142,like real people with real problems.,they still make movies like that.
2143,they still make movies like that.,"yes, but they never make much money."
2144,do you get pbs on tv?,"yes, everybody gets the public broadcasting system."
2145,"yes, everybody gets the public broadcasting system.",it puts me to sleep.
2146,it puts me to sleep.,tell me about it.
2147,tell me about it.,a gardening show follows a knitting show.
2148,a gardening show follows a knitting show.,a cooking show follows a sewing show.
2149,a cooking show follows a sewing show.,a travel show follows another travel show.
2150,a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!
2151,i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
2152,now they're adding old tv shows to the old movies.,i sure would like to see something interesting for a change.
2153,i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
2154,"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.
2155,"i love to watch ""judge judy.""",is that a tv show?
2156,is that a tv show?,yes. it's on every afternoon.
2157,yes. it's on every afternoon.,what's so good about it?
2158,what's so good about it?,they have interesting lawsuits.
2159,they have interesting lawsuits.,such as?
2160,such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
2161,"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?
2162,was something wrong with the phone?,it works only in canada.
2163,it works only in canada.,did the seller know that?
2164,did the seller know that?,"yes, and he didn't tell the buyer."
2165,"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
2166,that woman is a very good singer.,"yes, but she looks like a man."
2167,"yes, but she looks like a man.",what difference does it make?
2168,what difference does it make?,female singers are supposed to be pretty.
2169,female singers are supposed to be pretty.,singers are supposed to sound good.
2170,singers are supposed to sound good.,"they should look good, too."
2171,"they should look good, too.",there are lots of ugly men singers.
2172,there are lots of ugly men singers.,men singers don't have to look good.
2173,men singers don't have to look good.,then neither do women singers.
2174,then neither do women singers.,"well, i would never buy her cd."
2175,"well, i would never buy her cd.",but you would buy her cd if she was pretty?
2176,but you would buy her cd if she was pretty?,yes. i would buy all of her cds.
2177,all the tv stations are going to go digital.,"yes, that will occur next month."
2178,"yes, that will occur next month.",most of them are already broadcasting in digital.
2179,most of them are already broadcasting in digital.,the digital signal is very clear.
2180,the digital signal is very clear.,"oh, no, it isn't!"
2181,"oh, no, it isn't!",what do you mean?
2182,what do you mean?,i can't get a single channel.
2183,i can't get a single channel.,do you have a digital tv?
2184,do you have a digital tv?,of course. but i don't have cable.
2185,of course. but i don't have cable.,"you don't need to have cable, but you do need a good antenna."
2186,"you don't need to have cable, but you do need a good antenna.",but i have rabbit ears.
2187,but i have rabbit ears.,rabbit ears aren't strong enough. buy a digital antenna.
2188,i've got a date for you.,"oh, really?"
2189,"oh, really?",are you interested?
2190,are you interested?,maybe. what is she like?
2191,maybe. what is she like?,she's got a great personality.
2192,she's got a great personality.,uh-oh. that means that she's fat and ugly.
2193,uh-oh. that means that she's fat and ugly.,she's cute.
2194,she's cute.,"okay, so she's not ugly; she's just fat."
2195,"okay, so she's not ugly; she's just fat.",she weighs 98 pounds.
2196,she weighs 98 pounds.,"okay, she's not fat. so what's the problem with her?"
2197,"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?
2198,who said there is a problem with her?,the problem is she has no problemsÂ—she's too good for me!
2199,i think you're very pretty.,thank you.
2200,thank you.,would you have dinner with me?
2201,would you have dinner with me?,i would like to.
2202,i would like to.,can i pick you up friday night?
2203,can i pick you up friday night?,what time?
2204,what time?,eight o'clock.
2205,eight o'clock.,that sounds great.
2206,that sounds great.,we'll go to a french restaurant.
2207,we'll go to a french restaurant.,i've never been to a french restaurant.
2208,i've never been to a french restaurant.,i think you'll love the food.
2209,i think you'll love the food.,i'm not going to eat any snails!
2210,you have pretty eyes.,thank you. so do you.
2211,thank you. so do you.,i wish my eyes were blue.
2212,i wish my eyes were blue.,what's the matter with green eyes?
2213,what's the matter with green eyes?,"nothing, except my favorite color is blue."
2214,"nothing, except my favorite color is blue.",maybe in your next life you'll have blue eyes.
2215,maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?
2216,but what if i'm a fish in my next life?,i think some fish have blue eyes.
2217,i think some fish have blue eyes.,i hope i don't come back as a fish.
2218,i hope i don't come back as a fish.,i hope i come back as a cat.
2219,i hope i come back as a cat.,cats have beautiful eyes.
2220,cats have beautiful eyes.,i would love to have blue cat-eyes.
2221,i love you.,"i love you, too."
2222,"i love you, too.",i loved you the first day i saw you.
2223,i loved you the first day i saw you.,it was love at first sight?
2224,it was love at first sight?,"yes, it was love at first sight."
2225,"yes, it was love at first sight.",i didn't love you at first.
2226,i didn't love you at first.,i know. i had to chase you for a while.
2227,i know. i had to chase you for a while.,"yes, you chased me and then you caught me."
2228,"yes, you chased me and then you caught me.",now you're mine forever.
2229,now you're mine forever.,and you're mine forever.
2230,and you're mine forever.,we'll grow old together.
2231,we'll grow old together.,and be happy together.
2232,i'm in love with that girl.,have you told her?
2233,have you told her?,of course not.
2234,of course not.,why not?
2235,why not?,she would laugh at me.
2236,she would laugh at me.,how do you know?
2237,how do you know?,because they always do.
2238,because they always do.,maybe she's different.
2239,maybe she's different.,they're all the same.
2240,they're all the same.,just ask her out to dinner.
2241,just ask her out to dinner.,and then what?
2242,and then what?,and then she'll know that you like her.
2243,give me a hug.,i'm not in the mood.
2244,i'm not in the mood.,what's the matter?
2245,what's the matter?,i saw you looking at that woman.
2246,i saw you looking at that woman.,what woman?
2247,what woman?,"you know, that woman with the big boobs."
2248,"you know, that woman with the big boobs.",i was not looking at her.
2249,i was not looking at her.,"you were, too."
2250,"you were, too.",i'm not interested in her.
2251,i'm not interested in her.,then why were you looking at her?
2252,then why were you looking at her?,i was looking at something else.
2253,i was looking at something else.,"oh, really? then spend tonight looking at the sofa."
2254,would you like to go on a blind date?,you must be joking.
2255,you must be joking.,"no, i'm serious."
2256,"no, i'm serious.",i don't want to date a blind woman.
2257,i don't want to date a blind woman.,a blind date doesn't mean that she is blind!
2258,a blind date doesn't mean that she is blind!,what does it mean?
2259,what does it mean?,a blind date is a date with someone you don't know.
2260,a blind date is a date with someone you don't know.,why would i date someone i don't even know?
2261,why would i date someone i don't even know?,to try something new and exciting.
2262,to try something new and exciting.,what if i don't like her?
2263,what if i don't like her?,then you don't date her again.
2264,i have a date tomorrow night.,really? who with?
2265,really? who with?,a girl i met at the market.
2266,a girl i met at the market.,you met a girl at the supermarket?
2267,you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.
2268,she was standing behind me in a really slow line at the checkout counter.,what did you say to her?
2269,what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them."
2270,"i had two pineapples in my cart, and she asked where i had found them.",she asked you about your pineapples?
2271,she asked you about your pineapples?,"i told her i had gotten the last two on the shelf, but i offered her one of mine."
2272,"i told her i had gotten the last two on the shelf, but i offered her one of mine.",that was nice of you.
2273,that was nice of you.,"she asked me how she could return the favor, so i asked her out."
2274,"she asked me how she could return the favor, so i asked her out.",sometimes a slow line can be a good thing.
2275,did you have a date friday night?,"yes, in fact, i did."
2276,"yes, in fact, i did.",who did you go out with?
2277,who did you go out with?,a man i met in a coffee shop.
2278,a man i met in a coffee shop.,where did you go?
2279,where did you go?,we went to a nice restaurant.
2280,we went to a nice restaurant.,anywhere else?
2281,anywhere else?,then we went to a jazz club.
2282,then we went to a jazz club.,that sounds like a nice date.
2283,that sounds like a nice date.,"yes, it was pleasant."
2284,"yes, it was pleasant.",but you won't date him again?
2285,but you won't date him again?,"no. he was nice, but there was no chemistry."
2286,i had the worst date the other night.,what happened?
2287,what happened?,"first of all, he was half an hour late."
2288,"first of all, he was half an hour late.",that's not a good start.
2289,that's not a good start.,then he didn't bother to apologize.
2290,then he didn't bother to apologize.,that's rude.
2291,that's rude.,then he drove too fast to the restaurant.
2292,then he drove too fast to the restaurant.,that's dangerous.
2293,that's dangerous.,i thought about getting out and taking a taxi home.
2294,i thought about getting out and taking a taxi home.,what happened at the restaurant?
2295,what happened at the restaurant?,"we had a $40 meal, and he left a $1 tip!"
2296,"we had a $40 meal, and he left a $1 tip!",i guess you can't go back to that restaurant.
2297,i don't like that man.,why not?
2298,why not?,he's a dirty old man.
2299,he's a dirty old man.,what do you mean?
2300,what do you mean?,"he's old enough to be my father, yet he asked me out."
2301,"he's old enough to be my father, yet he asked me out.","well, you can't blame a man for asking."
2302,"well, you can't blame a man for asking.",he should act his age.
2303,he should act his age.,but a lot of old people are still interested in dating.
2304,but a lot of old people are still interested in dating.,they should find a nice hobby.
2305,they should find a nice hobby.,just wait until you're 50 years old.
2306,just wait until you're 50 years old.,dating will be the furthest thing from my mind.
2307,dating will be the furthest thing from my mind.,that's what you say now. wait till you're 50.
2308,does your girlfriend ever make you angry?,sometimes.
2309,sometimes.,what does she do?
2310,what does she do?,"just yesterday, i told her i wouldn't trade her for all the money in the world."
2311,"just yesterday, i told her i wouldn't trade her for all the money in the world.",that was a nice thing to say.
2312,that was a nice thing to say.,that's what i thought.
2313,that's what i thought.,what did she say?
2314,what did she say?,she laughed! she didn't believe me.
2315,she laughed! she didn't believe me.,that wasn't very nice of her.
2316,that wasn't very nice of her.,she said that nothing is more important to me than money.
2317,she said that nothing is more important to me than money.,what did you say?
2318,what did you say?,i told her i wouldn't trade her for any other woman in the world.
2319,some people have good noses.,i wish i had a good nose. mine is way too big.
2320,i wish i had a good nose. mine is way too big.,i don't mean good-looking. i mean good-smelling.
2321,i don't mean good-looking. i mean good-smelling.,oh. but that can be a curse.
2322,oh. but that can be a curse.,"yes, because you can be too sensitive to odors."
2323,"yes, because you can be too sensitive to odors.",i'll say. my girlfriend has a nose like a drug dog.
2324,i'll say. my girlfriend has a nose like a drug dog.,did she catch you using drugs?
2325,did she catch you using drugs?,sort of. she knows whenever i sneak a cigarette.
2326,sort of. she knows whenever i sneak a cigarette.,you don't need a good nose for thatÂ—cigarettes stink.
2327,you don't need a good nose for thatÂ—cigarettes stink.,"but when i sneak just one cigarette in the morning, she can smell it that evening!"
2328,"but when i sneak just one cigarette in the morning, she can smell it that evening!","boy, that is a good nose."
2329,"boy, that is a good nose.",i told her she should apply for a job at customs.
2330,let's go out to eat.,that sounds like fun.
2331,that sounds like fun.,where do you want to go?
2332,where do you want to go?,let me think a minute.
2333,let me think a minute.,i feel like chinese.
2334,i feel like chinese.,that sounds delicious.
2335,that sounds delicious.,i know a good chinese restaurant.
2336,i know a good chinese restaurant.,how far away is it?
2337,how far away is it?,it's only 10 minutes from here.
2338,it's only 10 minutes from here.,do we need reservations?
2339,do we need reservations?,"oh, no. we can walk right in."
2340,"oh, no. we can walk right in.",let's go now. i'm hungry!
2341,i can't believe how long this line is.,"this is a popular restaurant, isn't it?"
2342,"this is a popular restaurant, isn't it?","yes, but it isn't a fast-food restaurant, is it?"
2343,"yes, but it isn't a fast-food restaurant, is it?",it's the slowest hamburger in town.
2344,it's the slowest hamburger in town.,that's because they cook it while you wait.
2345,that's because they cook it while you wait.,yes. that's why it's also the best hamburger in town.
2346,yes. that's why it's also the best hamburger in town.,a great burger and great service.
2347,a great burger and great service.,"yes, the workers are very polite."
2348,"yes, the workers are very polite.",and they're clean.
2349,and they're clean.,i've been coming here for years.
2350,i've been coming here for years.,me too.
2351,me too.,excuse me. they just called my number.
2352,lunch was delicious.,thank you.
2353,thank you.,what kind of soup was that?
2354,what kind of soup was that?,it was tomato soup.
2355,it was tomato soup.,that tasted so good.
2356,that tasted so good.,i put lemon and butter in it.
2357,i put lemon and butter in it.,"the sandwich was good, too."
2358,"the sandwich was good, too.",everyone likes bacon and tomato sandwiches.
2359,everyone likes bacon and tomato sandwiches.,especially on toast.
2360,especially on toast.,"and the pickles were great, too."
2361,"and the pickles were great, too.",tomorrow we'll have rice and fish for lunch.
2362,tomorrow we'll have rice and fish for lunch.,i can't wait.
2363,i'm calling the waiter.,what's the matter?
2364,what's the matter?,this steak has too much fat.
2365,this steak has too much fat.,what do you want the waiter to do?
2366,what do you want the waiter to do?,bring me a better steak.
2367,bring me a better steak.,i wouldn't do that.
2368,i wouldn't do that.,why not?
2369,why not?,"they will drop the new steak on the floor, step on it, and then spit on it."
2370,"they will drop the new steak on the floor, step on it, and then spit on it.",you're crazy.
2371,you're crazy.,then the waiter will give you a big smile as he brings you the new steak.
2372,then the waiter will give you a big smile as he brings you the new steak.,where do you get these crazy ideas?
2373,where do you get these crazy ideas?,i used to cook in a restaurant!
2374,let's leave.,but we just got here.
2375,but we just got here.,did you see the waiter's hands?
2376,did you see the waiter's hands?,no.
2377,no.,he had dirty fingernails.
2378,he had dirty fingernails.,really?
2379,really?,his nails were black!
2380,his nails were black!,that's disgusting.
2381,that's disgusting.,and he poured water into our glasses.
2382,and he poured water into our glasses.,yuck! no water for me.
2383,yuck! no water for me.,"i wonder if the cooks' nails are dirty, too."
2384,"i wonder if the cooks' nails are dirty, too.",who cares? let's get out of here.
2385,this hot bread is delicious.,i like this restaurant because they give you free bread.
2386,i like this restaurant because they give you free bread.,"well, i think we are paying for it."
2387,"well, i think we are paying for it.",no. look at the bill when we get it. there's no charge for the bread.
2388,no. look at the bill when we get it. there's no charge for the bread.,"it is delicious, especially with butter."
2389,"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.
2390,i think we should just leave after we fill up on the bread.,they probably wouldn't like that.
2391,they probably wouldn't like that.,i'm eating so much bread that i'm getting full.
2392,i'm eating so much bread that i'm getting full.,then stop eating the bread!
2393,then stop eating the bread!,"okay, just one more piece. pass the butter, please."
2394,"okay, just one more piece. pass the butter, please.","if i owned a restaurant, i would never serve hot bread before the main course."
2395,"if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.
2396,is this a clean restaurant?,"well, the tables and chairs look okay."
2397,"well, the tables and chairs look okay.","okay, let's sit down."
2398,"okay, let's sit down.",check out the silverware.
2399,check out the silverware.,it passes inspection.
2400,it passes inspection.,here comes the waiter. see if his hands and nails are clean.
2401,here comes the waiter. see if his hands and nails are clean.,"well, the waiter looked clean, so i guess it's okay to eat here."
2402,"well, the waiter looked clean, so i guess it's okay to eat here.",you're forgetting about the bathroom.
2403,you're forgetting about the bathroom.,i'm going to just hope that the bathroom is clean.
2404,i'm going to just hope that the bathroom is clean.,you're not going to examine it before we order dinner?
2405,you're not going to examine it before we order dinner?,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
2406,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.","me, too. let's forget about germs and focus on food."
2407,have you seen our waiter?,here he comes now.
2408,here he comes now.,we've been sitting here for almost 10 minutes.
2409,we've been sitting here for almost 10 minutes.,"oops, i guess i was wrong. that isn't our waiter."
2410,"oops, i guess i was wrong. that isn't our waiter.","we can give him five more minutes, and then leave."
2411,"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.
2412,i'll go up front and talk to the manager.,that's a good idea.
2413,that's a good idea.,maybe they'll give us free drinks for waiting so long.
2414,maybe they'll give us free drinks for waiting so long.,maybe he'll send us our waiter immediately.
2415,maybe he'll send us our waiter immediately.,"every time we eat out, it's an adventure."
2416,"every time we eat out, it's an adventure.","last time, we got seats next to the kitchen."
2417,"last time, we got seats next to the kitchen.",we'll never go there again.
2418,is this table okay?,"no, it's too close to the kitchen door."
2419,"no, it's too close to the kitchen door.",how about this table?
2420,how about this table?,"no, it's too close to the front door."
2421,"no, it's too close to the front door.",this looks like a nice table.
2422,this looks like a nice table.,"no, it's too close to the salad bar."
2423,"no, it's too close to the salad bar.","okay, i give up."
2424,"okay, i give up.","well, there is one good table."
2425,"well, there is one good table.",great. which one?
2426,great. which one?,that one. a group of eight just sat down at it.
2427,i don't believe the art world.,what is it this time?
2428,what is it this time?,an andy warhol drawing.
